STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : BITLIS DSI 173. SB. MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 1302
STATION COORDINATES     : 38.47440N-42.15912E
STATION ALTITUDE (m)    : 1794
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5J60
RECORD TIME             : 23/10/2011 10:41:18 (GMT)
NUMBER OF DATA          : 19107
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  89.668149 (E-W) 102.243526 (U-D)  35.511623
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
    -0.002588       0.001822      -0.004346  
     0.003079       0.011582       0.008367  
     0.012209       0.003082       0.001855  
    -0.001643      -0.001956       0.000305  
    -0.004477      -0.004160       0.008677  
     0.004653      -0.000067      -0.000625  
     0.009376      -0.000067       0.002476  
    -0.000699      -0.005734       0.004646  
     0.001820      -0.004160       0.001855  
     0.003079       0.004656      -0.000625  
    -0.000069       0.003711      -0.000625  
     0.010320       0.001193       0.008677  
     0.013783       0.004026      -0.002176  
    -0.000699       0.002137       0.001235  
    -0.000069       0.007804       0.011778  
     0.007172       0.011897      -0.000935  
    -0.003218       0.007804       0.004026  
    -0.001958       0.001822       0.010227  
     0.010005      -0.001641      -0.001866  
    -0.003847       0.007804      -0.005276  
    -0.002903       0.005600       0.001235  
     0.014098      -0.011401      -0.004656  
     0.003394      -0.007623      -0.002176  
     0.007172       0.003082      -0.001555  
     0.009376      -0.002271      -0.002486  
     0.000875      -0.004789       0.005266  
     0.002764       0.006545      -0.004036  
     0.010950       0.009378       0.006817  
     0.015358      -0.006678       0.004336  
    -0.006051      -0.000696      -0.000315  
    -0.000384       0.015360       0.009607  
     0.009376       0.004341       0.001545  
    -0.007310       0.001822      -0.000315  
     0.000875       0.004971       0.009297  
     0.007802      -0.002900       0.001545  
    -0.011088       0.005285      -0.001866  
     0.004968       0.004341       0.008367  
     0.010005       0.002452      -0.005586  
    -0.001643       0.000878       0.001855  
     0.007172      -0.002900      -0.002486  
     0.013469       0.005600      -0.002796  
     0.013783       0.003082       0.000305  
     0.010320      -0.008882       0.003096  
     0.013154      -0.008252       0.009297  
     0.004338       0.015360      -0.002796  
    -0.005736       0.004656       0.009297  
    -0.005421      -0.010771       0.007747  
    -0.004477       0.007174       0.002476  
    -0.003532       0.009378       0.006507  
     0.003394      -0.002271       0.000925  
    -0.010144      -0.006993       0.004646  
    -0.005736       0.007804      -0.003106  
     0.008116      -0.000067      -0.001555  
     0.001820      -0.004789      -0.000315  
     0.008116       0.013156      -0.004656  
     0.011580       0.000248       0.004336  
     0.011265       0.004026      -0.003106  
     0.003079       0.004656       0.004026  
     0.009061       0.009693       0.002165  
     0.003394       0.010008      -0.001245  
    -0.016755      -0.005419       0.008057  
     0.007172      -0.000696       0.005886  
     0.014413       0.002452      -0.004036  
